fold,train_count,heldout_count,roi,clip_layer,mean_oof_cosine_quality,mean_oof_cost,std_oof_cost_ddof1
3,4108,1027,FFA,L4,0.8296899199485779,0.17031008005142212,0.07155292481184006
3,4108,1027,FFA,L8,0.7574074268341064,0.24259257316589355,0.07717124372720718
3,4108,1027,FFA,L12,0.7883300930261612,0.2116699069738388,0.05609510466456413
3,4108,1027,FFA,L16,0.8349324762821198,0.16506752371788025,0.05038614943623543
3,4108,1027,FFA,L20,0.804956465959549,0.19504353404045105,0.05184642970561981
3,4108,1027,FFA,L24,0.9018018767237663,0.09819812327623367,0.023064173758029938
3,4108,1027,EBA,L4,0.8219195604324341,0.17808043956756592,0.07596772909164429
3,4108,1027,EBA,L8,0.7545513361692429,0.24544866383075714,0.08005203306674957
3,4108,1027,EBA,L12,0.7926439493894577,0.2073560506105423,0.055953796952962875
3,4108,1027,EBA,L16,0.8402946293354034,0.15970537066459656,0.04901176318526268
3,4108,1027,EBA,L20,0.8099963366985321,0.1900036633014679,0.05109114572405815
3,4108,1027,EBA,L24,0.9043407142162323,0.0956592857837677,0.02201041765511036
3,4108,1027,PPA,L4,0.8301089107990265,0.1698910892009735,0.07390130311250687
3,4108,1027,PPA,L8,0.7628963887691498,0.23710361123085022,0.0789492055773735
3,4108,1027,PPA,L12,0.795926421880722,0.20407357811927795,0.055005259811878204
3,4108,1027,PPA,L16,0.8397701382637024,0.1602298617362976,0.048557572066783905
3,4108,1027,PPA,L20,0.8079023361206055,0.19209766387939453,0.05123715475201607
3,4108,1027,PPA,L24,0.9034886956214905,0.09651130437850952,0.022950725629925728
3,4108,1027,OPA,L4,0.8323821723461151,0.1676178276538849,0.07138033211231232
3,4108,1027,OPA,L8,0.7679519802331924,0.23204801976680756,0.07343468815088272
3,4108,1027,OPA,L12,0.7995991855859756,0.20040081441402435,0.05158118158578873
3,4108,1027,OPA,L16,0.8409565836191177,0.15904341638088226,0.048310741782188416
3,4108,1027,OPA,L20,0.8088497817516327,0.1911502182483673,0.051664408296346664
3,4108,1027,OPA,L24,0.9034784287214279,0.09652157127857208,0.022466499358415604
4,4108,1027,V1,L4,0.8280107378959656,0.17198926210403442,0.06926392763853073
4,4108,1027,V1,L8,0.7442200183868408,0.2557799816131592,0.07987944036722183
4,4108,1027,V1,L12,0.7632957994937897,0.23670420050621033,0.06519033014774323
4,4108,1027,V1,L16,0.8118875622749329,0.18811243772506714,0.056229740381240845
4,4108,1027,V1,L20,0.7848610281944275,0.2151389718055725,0.05459386110305786
4,4108,1027,V1,L24,0.8928027376532555,0.10719726234674454,0.023293834179639816
4,4108,1027,V2,L4,0.831403985619545,0.16859601438045502,0.06695268303155899
4,4108,1027,V2,L8,0.750917375087738,0.24908262491226196,0.07700900733470917
4,4108,1027,V2,L12,0.7685466408729553,0.23145335912704468,0.06308542937040329
4,4108,1027,V2,L16,0.8147485554218292,0.18525144457817078,0.05483540520071983
4,4108,1027,V2,L20,0.7872605919837952,0.21273940801620483,0.05336860567331314
4,4108,1027,V2,L24,0.8939007222652435,0.10609927773475647,0.023525336757302284
4,4108,1027,V3,L4,0.8393164724111557,0.1606835275888443,0.06290791183710098
4,4108,1027,V3,L8,0.7654463052749634,0.23455369472503662,0.07150822132825851
4,4108,1027,V3,L12,0.7853571474552155,0.21464285254478455,0.05372092127799988
4,4108,1027,V3,L16,0.8262837529182434,0.1737162470817566,0.04833404719829559
4,4108,1027,V3,L20,0.7964236289262772,0.20357637107372284,0.05032877251505852
4,4108,1027,V3,L24,0.8981693983078003,0.10183060169219971,0.02274385094642639
4,4108,1027,hV4,L4,0.8373761028051376,0.16262389719486237,0.06364934891462326
4,4108,1027,hV4,L8,0.7632786482572556,0.23672135174274445,0.06989756971597672
4,4108,1027,hV4,L12,0.785037487745285,0.21496251225471497,0.054766684770584106
4,4108,1027,hV4,L16,0.8269818723201752,0.17301812767982483,0.049526795744895935
4,4108,1027,hV4,L20,0.7972782701253891,0.2027217298746109,0.0484832301735878
4,4108,1027,hV4,L24,0.8985371589660645,0.10146284103393555,0.022694561630487442
4,4108,1027,FFA,L4,0.830148309469223,0.16985169053077698,0.07007428258657455
4,4108,1027,FFA,L8,0.7591058164834976,0.24089418351650238,0.07654498517513275
4,4108,1027,FFA,L12,0.7887884825468063,0.21121151745319366,0.057254623621702194
4,4108,1027,FFA,L16,0.8337414562702179,0.1662585437297821,0.0482010617852211
4,4108,1027,FFA,L20,0.8051018863916397,0.1948981136083603,0.046754878014326096
4,4108,1027,FFA,L24,0.902284249663353,0.09771575033664703,0.021589821204543114
4,4108,1027,EBA,L4,0.8247142136096954,0.17528578639030457,0.07615432143211365
4,4108,1027,EBA,L8,0.7576630264520645,0.24233697354793549,0.08158207684755325
4,4108,1027,EBA,L12,0.7935333400964737,0.2064666599035263,0.057940028607845306
4,4108,1027,EBA,L16,0.8391377925872803,0.16086220741271973,0.04803963378071785
4,4108,1027,EBA,L20,0.8100028485059738,0.18999715149402618,0.04671259969472885
4,4108,1027,EBA,L24,0.9049350246787071,0.09506497532129288,0.021252602338790894
4,4108,1027,PPA,L4,0.833778589963913,0.16622141003608704,0.07036908715963364
4,4108,1027,PPA,L8,0.7651444971561432,0.2348555028438568,0.07680805772542953
4,4108,1027,PPA,L12,0.7957776188850403,0.20422238111495972,0.05527522787451744
4,4108,1027,PPA,L16,0.8388347327709198,0.1611652672290802,0.04662180691957474
4,4108,1027,PPA,L20,0.8080006390810013,0.19199936091899872,0.04665597155690193
4,4108,1027,PPA,L24,0.9037406146526337,0.09625938534736633,0.021898237988352776
4,4108,1027,OPA,L4,0.8336264789104462,0.16637352108955383,0.06887675821781158
